Identifier,Amazon Title,Amazon URL,Amazon Image,Amazon Category,Brand,Variations,ASIN,Amazon UPC/EAN,Buy Box,Amazon Sells and In Stock,Average Price (30 days),Average Price (90 days),Amazon Return After Fees,New Sellers,Weight (lbs),Product Size,Sales Rank,Average Rank (30 Days),Average Rank (90 Days),Estimated Monthly Sales,Reviews,Rating,Last Update,Note,Buy Box Price,Average Amazon Sale Price,Average New Sale Price,Lowest Sale Price,Average New Sale Price (Amazon is OOS),Length,Width,Height,WeightUnits,SizeUnits,Amazon In Stock (30 days)
,"Ortho Home Defense Insect Killer for Cracks & Crevices - Spray Foam Kills Ants, Cockroaches, Fleas, Centipedes, Crickets, Boxelder Bugs & Other Listed Comm",https://amazon.com/dp/B071S88VPT/,https://m.media-amazon.com/images/I/41ChSWoy4EL.jpg,"Patio, Lawn & Garden",Ortho,1,B071S88VPT,71549020545,AMZ,yes,,,$3.51 ,10,1.26,Large Standard-Size,500,1190,1638,1711,2594,4.3,2021-07-02T13:12:45.000000Z,,$9.99 ,$9.98 ,$10.68 ,$3.20 ,$19.26 ,1028,287,283,hundredths-pounds,hundredths-inches,
,Ortho 0221310 Home Defense MAX Insect Killer for Indoor and Perimeter RTU Trigger (2),https://amazon.com/dp/B07GK7PDBS/,https://m.media-amazon.com/images/I/41SIo-UYAWL.jpg,"Patio, Lawn & Garden",Ortho,1,B07GK7PDBS,,AMZ,yes,,,$6.73 ,6,3.64,Large Standard-Size,1158,4326,4589,1674,1622,4.5,2021-07-02T06:46:15.000000Z,,$15.10 ,$23.93 ,$16.17 ,$5.49 ,$16.36 ,1201,1035,240,hundredths-pounds,hundredths-inches,56
,"OTS NFL New England Patriots Men's Alton Jersey, Team Color, Large",https://amazon.com/dp/B07RWW9P34/,https://m.media-amazon.com/images/I/41vy2ZtyXpL.jpg,Sports & Outdoors,Ots,104,B07RWW9P34,,AMZ,yes,,,$31.83 ,2,0.49,Large Standard-Size,9239,8023,9606,675,0,0,2021-07-02T00:12:09.000000Z,,$41.24 ,$34.79 ,$36.16 ,$4.62 ,,1472,1307,213,hundredths-pounds,hundredths-inches,
,"Pacon 5850 Kraft Wrapping Paper, 48"" x 200 ft, Natural",https://amazon.com/dp/B000NDKVJY/,https://m.media-amazon.com/images/I/31PKiSuDykL.jpg,"Arts, Crafts & Sewing",Pacon,1,B000NDKVJY,45173058502,AMZ,yes,,,$8.46 ,44,13.32,Small Oversize,3736,2848,4332,561,1135,4.8,2021-07-02T09:55:44.000000Z,,$26.37 ,$30.14 ,$26.25 ,$7.25 ,$26.37 ,4915,510,500,hundredths-pounds,hundredths-inches,
,Park Tool VP-1 Vulcanizing Patch Kit for for Bicycle Tube Repair - Set of 6 Patches & Adhesive,https://amazon.com/dp/B000JF2ZB8/,https://m.media-amazon.com/images/I/415SLDos+jL.jpg,Sports & Outdoors,Park Tool,1,B000JF2ZB8,7.63477E+11,FBA,out of stock,,,$0.55 ,12,0.05,Small Standard-Size,4806,5938,5363,1108,3582,4.3,2021-07-02T07:56:53.000000Z,,$4.92 ,$9.63 ,$5.94 ,$2.95 ,,270,130,70,hundredths-pounds,hundredths-inches,0
,"Platypus GravityWorks High-Capacity Water Filter System for Group Camping and Emergency Preparedness, 4.0 Liter",https://amazon.com/dp/B00G4V4IVQ/,https://m.media-amazon.com/images/I/3154LhitAkL.jpg,Sports & Outdoors,Platypus,2,B00G4V4IVQ,40818031353,AMZ,yes,,,$88.41 ,13,1.01,Large Standard-Size,7941,12498,10224,608,1170,4.8,2021-07-02T10:02:19.000000Z,,$109.95 ,$116.74 ,$104.48 ,$35.00 ,$104.64 ,1323,646,299,hundredths-pounds,hundredths-inches,46
,"Playtex Living Reuseable Rubber Cleaning Gloves, Premium Protection (Large, Pack - 2) Color may vary",https://amazon.com/dp/B00946GXUM/,https://m.media-amazon.com/images/I/51iPQ1LttRL.jpg,Tools & Home Improvement,Playtex,4,B00946GXUM,,AMZ,yes,,,$5.52 ,4,0.51,Large Standard-Size,10815,5688,3771,780,979,4.6,2021-07-03T08:27:01.000000Z,,$9.99 ,$14.25 ,$16.36 ,$5.05 ,$19.31 ,835,480,217,hundredths-pounds,hundredths-inches,38
,"Poise Impressa Incontinence Bladder Supports for Bladder Control Sizing Kit, 3 Count, Packaging May Vary",https://amazon.com/dp/B07LB5BCVQ/,https://m.media-amazon.com/images/I/41K59LgAfOL.jpg,Health & Household,Poise,4,B07LB5BCVQ,,AMZ,yes,,,$3.67 ,2,0.26,Large Standard-Size,6798,6186,5197,2813,1763,4.2,2021-07-03T16:23:53.000000Z,,$7.80 ,$7.28 ,$7.65 ,$2.00 ,$7.85 ,705,504,252,hundredths-pounds,hundredths-inches,
,"PORTER-CABLE Heat Gun, 1500-Watt (PC1500HG)",https://amazon.com/dp/B004Q04X44/,https://m.media-amazon.com/images/I/31I6OI2RwKS.jpg,Tools & Home Improvement,Porter-cable,1,B004Q04X44,8.85911E+11,AMZ,yes,,,$22.82 ,13,2.56,Large Standard-Size,4236,5213,3573,780,3929,4.7,2021-07-04T02:16:35.000000Z,,$33.33 ,$34.48 ,$34.27 ,$10.99 ,$34.26 ,1283,1059,421,hundredths-pounds,hundredths-inches,
,"Pro-Sense Itch & Allergy Solutions for Pets, 100-Count",https://amazon.com/dp/B00SX2N2R0/,https://m.media-amazon.com/images/I/41ThVfHUY7L.jpg,Health & Household,Prosense,2,B00SX2N2R0,26851820925,AMZ,yes,,,$0.68 ,9,0.18,Large Standard-Size,15436,15225,16049,833,3405,4.1,2021-07-04T02:54:58.000000Z,,$4.88 ,$4.97 ,$6.55 ,$1.86 ,$9.22 ,335,181,173,hundredths-pounds,hundredths-inches,
