 Product Name,ASIN,Marketplace URL,UPC,SKU,Source URL,Handling Time,Bundle Qty,Source Price,Shipping Cost,Listed By,Initial price to list on Amazon,Tax,Buy Box,Marketplace,Amazon Fee FBA,Amazon Fee FBM,Lowest FBA,Lowest FBM,Sales Rank,Profit (FBA),Profit (FBM),Category,Approved for selling,
"Mega Kitchen System 72 oz. 5-Speed Black Blender and Food Processor with Travel Cups (BL770)","B00939I7EK","https://www.amazon.com/dp/B00939I7EK","622356532419","","https://www.homedepot.com/p/NINJA-Mega-Kitchen-System-72-oz-5-Speed-Black-Blender-and-Food-Processor-with-Travel-Cups-BL770-BL770/206439036","","1","159.99","0.00","","","12.7992","159.99","Amazon","41.4","24","159.99","149.99","267","-41.400000000000006","-24","FOOD_PROCESSOR","Login to SC",
"Toshiba EM131A5C-BS Microwave Oven with Smart Sensor Easy Clean Interior ECO Mode and Sound On/Off 1.2 Cu.ft 1100W Black Stainless Steel","B071WCB1T6","https://www.amazon.com/dp/B071WCB1T6","839724015492","","https://www.walmart.com/ip/680172170?selected=true","","1","140","0.00","","","11.2","129.99","Amazon","48.68","19.5","129.99","173.48","54","-58.69","-29.50999999999999","MICROWAVE_OVEN","Login to SC",
"Hoover PowerDash Pet Carpet Cleaner FH50700","B078YZ586K","https://www.amazon.com/dp/B078YZ586K","073502045350","","https://www.walmart.com/ip/335594678?selected=true","","1","99","0.00","","","7.92","99.99","Amazon","35.82","15","99.99","109.99","265","-34.83000000000001","-14.010000000000005","VACUUM_CLEANER","Login to SC",
"Cricut Explore Air 2 Smart-Cutting Machine Mint – DIY and Die-Cutting","B01GSOMVRG","https://www.amazon.com/dp/B01GSOMVRG","093573270383","","https://www.walmart.com/ip/54736763?selected=true","","1","199","0.00","","","15.92","N/A","Amazon","45.73","29.85","199","199.99","142","-45.72999999999999","-29.849999999999994","HOME","Login to SC",
"Apple Magic Keyboard with Numeric Keypad - US English","B071ZZTNBM","https://www.amazon.com/dp/B071ZZTNBM","190198383396","","https://www.walmart.com/ip/254728143?selected=true","","1","129.99","0.00","","","10.3992","N/A","Amazon","13.96","8.9","111.22","125","1","-32.73000000000002","-27.670000000000016","KEYBOARDS","Login to SC",
"Apple Pencil - Stylus for tablet - for 10.2-inch iPad (7th generation 8th generation); 10.5-inch iPad Air (3rd generation); 10.5-inch iPad Pro; 12.9-inch iPad Pro (1st generation 2nd generation); 9.7-inch iPad (6th generation); 9.7-inch iPad Pro; iPad mini 5","B016NY7784","https://www.amazon.com/dp/B016NY7784","888462313711","","https://www.walmart.com/ip/178030063?selected=true","","1","90","0.00","","","7.2","N/A","Amazon","11.17","7.59","94.88","99.99","1","-6.290000000000006","-2.710000000000008","INPUT_PEN","Login to SC",
"Honeywell HEPA Allergen Remover Air Purifier HPA300 Black","B00BWYO53G","https://www.amazon.com/dp/B00BWYO53G","092926403003","","https://www.walmart.com/ip/37770927?selected=true","","1","210.26","0.00","","","16.8208","210.26","Amazon","55.78","31.54","210.26","242.82","1,639","-55.78","-31.539999999999992","AIR_PURIFIER","Login to SC",
"Nutri Ninja 72 oz. 3-Speed Black Professional Blender with 2 Single Serve Cups (BL660)","B00939FV8K","https://www.amazon.com/dp/B00939FV8K","622356532099","","https://www.homedepot.com/p/NINJA-Nutri-Ninja-72-oz-3-Speed-Black-Professional-Blender-with-2-Single-Serve-Cups-BL660-BL660/206162306","","1","114.13","0.00","","","9.1304","N/A","Amazon","24.88","16.5","109.99","109.99","115","-29.019999999999996","-20.64","FOOD_BLENDER","Login to SC",
"Ninja Air Fryer 1550-Watt Programmable Base for Air Frying Roasting Reheating & Dehydrating with 4-Quart Ceramic Coated Baske","B07FDJMC9Q","https://www.amazon.com/dp/B07FDJMC9Q","622356554572","","https://www.walmart.com/ip/516008834?selected=true","","1","115","0.00","","","9.2","99.99","Amazon","32.02","15","99.99","120","110","-47.03","-30.010000000000005","AIR_FRYER","Login to SC",
"BISSELL SpotClean ProHeat Portable Spot and Stain Carpet Cleaner 2694 Blue","B07Q2MKX5C","https://www.amazon.com/dp/B07Q2MKX5C","011120250008","","https://www.walmart.com/ip/324522820?selected=true","","1","152.7","0.00","","","12.216","N/A","Amazon","33.12","18","119.99","194.4","3,396","-65.82999999999998","-50.709999999999994","CLEANING_AGENT","Login to SC",
